标号,标题,首次记录时间,当时热度,当时排名,字段1_link
1,007影迷网站呼吁电影推迟上映,2020年03月03日10时04分,236516,44,http://47.94.93.86/info/007影迷网站呼吁电影推迟上映
2,007推迟上映,2020年03月05日07时16分,58160,47,http://47.94.93.86/info/007推迟上映
3,007调档或损失5000万美元,2020年03月06日14时35分,194194,43,http://47.94.93.86/info/007调档或损失5000万美元
4,00后已到达防疫战场,2020年02月24日16时07分,276261,47,http://47.94.93.86/info/00后已到达防疫战场
5,0214云表白,2020年02月14日18时00分,2325788,3,http://47.94.93.86/info/0214云表白
6,0214的意思,2020年02月14日09时43分,222019,43,http://47.94.93.86/info/0214的意思
7,05后公布恋情的方式,2020年03月08日22时45分,272719,47,http://47.94.93.86/info/05后公布恋情的方式
8,05后的聊天方式,2020年02月16日18时48分,190543,47,http://47.94.93.86/info/05后的聊天方式
9,1000余人涉疫情犯罪被检察机关提起公诉,2020年02月26日18时45分,235173,48,http://47.94.93.86/info/1000余人涉疫情犯罪被检察机关提起公诉
10,101岁NASA女数学家逝世,2020年02月25日14时23分,283880,46,http://47.94.93.86/info/101岁NASA女数学家逝世
11,102名福建医护人员驰援武汉,2020年02月06日16时06分,205852,44,http://47.94.93.86/info/102名福建医护人员驰援武汉
12,1037万多名党员自愿捐款11.8亿元,2020年02月29日20时09分,217162,45,http://47.94.93.86/info/1037万多名党员自愿捐款11.8亿元
13,106辆军用卡车为武汉运生活物资,2020年02月08日06时16分,74754,19,http://47.94.93.86/info/106辆军用卡车为武汉运生活物资
14,109个国家地区32555例新冠肺炎,2020年03月10日18时28分,214811,47,http://47.94.93.86/info/109个国家地区32555例新冠肺炎
15,10个战疫好消息,2020年02月19日16时35分,,置顶,http://47.94.93.86/info/10个战疫好消息
16,10后的脑回路,2020年03月10日08时13分,168993,45,http://47.94.93.86/info/10后的脑回路
17,10地连续10天以上无新增病例,2020年03月03日12时00分,335555,45,http://47.94.93.86/info/10地连续10天以上无新增病例
18,10岁女孩每天给公交司机父母送饭,2020年02月24日10时23分,225447,44,http://47.94.93.86/info/10岁女孩每天给公交司机父母送饭
19,10年前和10年后,2020年02月28日15时59分,201505,47,http://47.94.93.86/info/10年前和10年后
20,10日左右武汉方舱医院有望全部休舱,2020年03月09日15时43分,238883,45,http://47.94.93.86/info/10日左右武汉方舱医院有望全部休舱
21,10架次航班接回1314名中国公民,2020年03月01日17时53分,193917,44,http://47.94.93.86/info/10架次航班接回1314名中国公民
22,1107名滞留海外中国公民包机回国,2020年02月12日14时10分,250854,46,http://47.94.93.86/info/1107名滞留海外中国公民包机回国
23,112岁老人成世界最长寿男性,2020年02月13日13时21分,219646,47,http://47.94.93.86/info/112岁老人成世界最长寿男性
24,11人聚众打牌被传唤当志愿者补过,2020年02月11日18时19分,209070,45,http://47.94.93.86/info/11人聚众打牌被传唤当志愿者补过
25,11例病理解剖结果数据很快会发布,2020年02月29日16时06分,199016,46,http://47.94.93.86/info/11例病理解剖结果数据很快会发布
26,11地连续10天及以上无新增病例,2020年03月04日21时04分,,置顶,http://47.94.93.86/info/11地连续10天及以上无新增病例
27,11岁乒乓神童获东京奥运资格,2020年03月06日13时22分,285802,46,http://47.94.93.86/info/11岁乒乓神童获东京奥运资格
28,11日武汉拟将完成所有疑似患者检测清零,2020年02月10日22时42分,263199,43,http://47.94.93.86/info/11日武汉拟将完成所有疑似患者检测清零
29,120秒感恩致敬医护,2020年02月21日11时43分,,置顶,http://47.94.93.86/info/120秒感恩致敬医护
30,12308日均人工接听1100多通求助电话,2020年03月05日11时49分,195248,47,http://47.94.93.86/info/12308日均人工接听1100多通求助电话
31,12315优先处理野生动物交易线索,2020年02月27日17时07分,217497,46,http://47.94.93.86/info/12315优先处理野生动物交易线索
32,123所高校7924名医护人员支援武汉,2020年02月12日17时42分,225919,46,http://47.94.93.86/info/123所高校7924名医护人员支援武汉
33,12地5136名医护人员奔赴武汉,2020年02月09日22时09分,275890,45,http://47.94.93.86/info/12地5136名医护人员奔赴武汉
34,12日新增1485人驰援湖北,2020年02月13日10时06分,116735,46,http://47.94.93.86/info/12日新增1485人驰援湖北
35,12项疫情防控惠民政策,2020年02月08日17时05分,,置顶,http://47.94.93.86/info/12项疫情防控惠民政策
36,13家快递企业恢复正常运营,2020年02月10日19时29分,204244,44,http://47.94.93.86/info/13家快递企业恢复正常运营
37,13省区市下调应急响应级别,2020年02月26日12时49分,246093,45,http://47.94.93.86/info/13省区市下调应急响应级别
